Department,EmployeeID,Salary,YearsOfExperience,Age
Marketing,1001,63483,9,49
Sales,1002,88555,7,46
Engineering,1003,57159,9,54
Sales,1004,75920,8,22
Sales,1005,107121,12,48
Finance,1006,109479,2,34
Engineering,1007,59457,1,24
Engineering,1008,106557,16,27
Engineering,1009,117189,5,29
Sales,1010,118953,3,48
Marketing,1011,92995,12,30
Engineering,1012,80757,8,58
Sales,1013,49692,3,54
Finance,1014,85758,1,45
Marketing,1015,112409,3,36
Finance,1016,111211,5,53
Marketing,1017,105697,15,53
Sales,1018,77065,14,45
HR,1019,72606,3,33
Marketing,1020,51534,1,23
Finance,1021,80397,5,24
Sales,1022,41016,14,58
Marketing,1023,95591,7,38
HR,1024,63247,9,23
HR,1025,64300,15,23
Engineering,1026,114065,15,49
Engineering,1027,49268,10,44
Finance,1028,52185,13,58
Marketing,1029,103704,19,53
Marketing,1030,79099,7,54
Engineering,1031,48571,17,22
Marketing,1032,78044,20,40
Marketing,1033,91214,4,23
HR,1034,101228,5,47
Engineering,1035,88984,7,53
Sales,1036,80774,13,27
Engineering,1037,42568,15,53
Sales,1038,102592,11,25
HR,1039,107563,4,32
Finance,1040,42695,13,38
Marketing,1041,88190,7,59
HR,1042,45258,19,45
Marketing,1043,79504,2,26
Finance,1044,73159,10,55
Finance,1045,53986,13,27
HR,1046,101858,6,43
Finance,1047,52666,12,32
Sales,1048,78660,12,37
Finance,1049,43561,20,54
Marketing,1050,66854,11,30
